Amino_acids,Count,Proportion(%)
A/T,238405,2.7947
R/Q,227720,2.6694
A/V,221748,2.5994
P/L,219770,2.5762
E/K,191775,2.2481
R/H,187339,2.1961
P/S,178246,2.0895
R/C,176816,2.0727
G/R,156668,1.8365
R/W,151900,1.7806
I/V,148389,1.7395
V/I,142847,1.6745
V/M,134825,1.5805
D/N,134556,1.5773
T/I,131391,1.5402
N/S,118178,1.3853
G/S,115472,1.3536
V/L,114192,1.3386
L/F,113316,1.3283
L/V,110250,1.2924
T/A,105846,1.2408
R/G,105636,1.2383
I/T,96022,1.1256
A/S,94657,1.1096
E/D,89952,1.0545
K/R,89225,1.0459
L/P,88716,1.04
F/L,86120,1.0095
Y/C,86089,1.0092
R/L,85170,0.9984
Q/R,83644,0.9805
T/M,82618,0.9685
G/D,82518,0.9673
D/E,82515,0.9673
S/N,81419,0.9544
V/A,81137,0.9511
M/V,79639,0.9336
P/R,77686,0.9107
P/A,76403,0.8956
S/L,76167,0.8929
P/T,74382,0.8719
K/E,73127,0.8572
S/F,72966,0.8553
D/G,72457,0.8494
S/R,71896,0.8428
H/R,71872,0.8425
G/V,70470,0.8261
E/Q,70190,0.8228
G/E,70050,0.8212
Q/H,68844,0.807
T/S,67502,0.7913
E/G,67097,0.7865
K/N,64368,0.7546
R/S,63735,0.7471
A/G,63335,0.7424
H/Y,63118,0.7399
M/I,60341,0.7073
N/K,59371,0.696
M/T,59241,0.6945
S/G,58852,0.6899
S/C,58852,0.6899
G/A,58370,0.6842
R/P,57977,0.6796
S/T,57756,0.677
I/M,56771,0.6655
A/P,51859,0.6079
S/P,51826,0.6075
C/Y,48045,0.5632
R/K,47944,0.562
H/Q,47575,0.5577
Q/E,46488,0.545
D/H,46257,0.5422
N/D,44083,0.5168
D/Y,43751,0.5129
Y/H,41286,0.484
T/N,37749,0.4425
A/D,36941,0.433
D/V,35613,0.4175
L/R,34383,0.4031
C/R,34047,0.3991
M/L,33192,0.3891
I/L,32870,0.3853
Q/K,32857,0.3852
V/F,32212,0.3776
E/A,30842,0.3615
P/H,30381,0.3561
L/I,30314,0.3554
A/E,29979,0.3514
K/T,29878,0.3502
K/Q,29352,0.3441
L/M,29343,0.344
G/C,29316,0.3437
F/S,28696,0.3364
Q/P,27330,0.3204
V/G,26882,0.3151
T/P,26472,0.3103
S/Y,26298,0.3083
T/R,26072,0.3056
C/S,25937,0.304
P/Q,25903,0.3036
S/A,25662,0.3008
T/K,25360,0.2973
I/F,25250,0.296
E/V,24604,0.2884
S/I,24321,0.2851
L/S,22906,0.2685
R/T,22832,0.2676
N/H,20885,0.2448
W/R,20589,0.2414
N/T,18826,0.2207
C/F,18579,0.2178
H/P,18504,0.2169
Y/F,17969,0.2106
Q/L,17916,0.21
I/N,17824,0.2089
D/A,17744,0.208
N/I,17678,0.2072
W/C,17479,0.2049
H/N,17159,0.2011
H/L,17023,0.1996
F/V,16280,0.1908
L/Q,16125,0.189
F/C,15879,0.1861
G/W,15101,0.177
H/D,14794,0.1734
C/G,13647,0.16
Y/S,13053,0.153
I/S,12839,0.1505
M/R,12742,0.1494
M/K,12603,0.1477
N/Y,12380,0.1451
V/E,11495,0.1347
F/I,11190,0.1312
C/W,11128,0.1304
F/Y,10930,0.1281
L/H,10796,0.1266
S/W,10427,0.1222
V/D,9824,0.1152
Y/N,9616,0.1127
K/M,9504,0.1114
R/I,8211,0.0963
Y/D,8006,0.0938
L/W,7412,0.0869
K/I,7011,0.0822
W/S,5947,0.0697
W/L,5873,0.0688
W/G,5856,0.0686
R/M,5612,0.0658
I/K,3701,0.0434
I/R,3629,0.0425
U/R,5,0.0001
U/G,4,0.0
U/S,3,0.0
U/W,2,0.0
U/C,2,0.0
U/L,2,0.0
