Gene_symbol,Count,Proportion(%)
MUC4,14533,0.1704
AHNAK2,10269,0.1204
FLG,9348,0.1096
SYNE1,9022,0.1058
ATM,8728,0.1023
NEB,8539,0.1001
APC,8146,0.0955
MUC5B,7655,0.0897
PKD1,7218,0.0846
RYR1,7217,0.0846
USH2A,6873,0.0806
ADGRV1,6785,0.0795
SYNE2,6544,0.0767
DNAH11,6425,0.0753
MUC17,6232,0.0731
BRCA2,6124,0.0718
POLE,5968,0.07
ALMS1,5963,0.0699
RYR2,5922,0.0694
AHNAK,5897,0.0691
KMT2D,5896,0.0691
NF1,5840,0.0685
HMCN1,5683,0.0666
DNAH17,5478,0.0642
PCLO,5428,0.0636
APOB,5213,0.0611
TSC2,5155,0.0604
CSMD1,5148,0.0603
DNAH5,5121,0.06
HSPG2,5110,0.0599
MSH6,5080,0.0596
TNXB,4916,0.0576
RP1L1,4881,0.0572
PRKDC,4859,0.057
CCDC168,4806,0.0563
HRNR,4794,0.0562
LAMA5,4636,0.0543
FAT1,4605,0.054
LRP2,4600,0.0539
CDH23,4553,0.0534
FSIP2,4507,0.0528
SRRM2,4424,0.0519
DNAH9,4391,0.0515
RYR3,4381,0.0514
FBN1,4369,0.0512
PKHD1,4360,0.0511
DNAH1,4352,0.051
MDN1,4335,0.0508
COL6A3,4313,0.0506
KMT2C,4239,0.0497
SACS,4192,0.0491
PIEZO1,4170,0.0489
CACNA1H,4118,0.0483
ANK2,4115,0.0482
PCNT,4114,0.0482
FAT2,4081,0.0478
DSP,4068,0.0477
SPTBN5,4042,0.0474
POLQ,3981,0.0467
AKAP9,3981,0.0467
ZFHX3,3976,0.0466
FLNC,3939,0.0462
MYO15A,3893,0.0456
DNAH2,3875,0.0454
CUBN,3871,0.0454
RECQL4,3869,0.0454
STARD9,3801,0.0446
HYDIN,3788,0.0444
LAMA2,3777,0.0443
LYST,3765,0.0441
RELN,3762,0.0441
HERC2,3749,0.0439
ALK,3746,0.0439
DICER1,3729,0.0437
FAT3,3725,0.0437
SZT2,3706,0.0434
DNHD1,3705,0.0434
DNAH7,3703,0.0434
PKHD1L1,3691,0.0433
