SWISSPROT,Count,Proportion(%)
Q99102,14533,0.1704
Q8IVF2,10269,0.1204
P20930,9348,0.1096
Q8NF91,9022,0.1058
Q13315,8728,0.1023
P20929,8539,0.1001
P25054,8146,0.0955
Q9HC84,7655,0.0897
P98161,7218,0.0846
P21817,7217,0.0846
O75445,6873,0.0806
Q8WXG9,6785,0.0795
Q8WXH0,6544,0.0767
Q96DT5,6425,0.0753
Q685J3,6232,0.0731
P51587,6124,0.0718
Q07864,5968,0.07
Q8TCU4,5963,0.0699
Q92736,5922,0.0694
Q09666,5897,0.0691
O14686,5896,0.0691
P21359,5840,0.0685
Q96RW7,5683,0.0666
Q9UFH2,5478,0.0642
Q9Y6V0,5428,0.0636
P04114,5213,0.0611
P49815,5155,0.0604
Q96PZ7,5148,0.0603
Q8TE73,5121,0.06
P98160,5110,0.0599
P52701,5080,0.0596
P22105,4916,0.0576
Q8IWN7,4881,0.0572
P78527,4859,0.057
Q8NDH2,4806,0.0563
Q86YZ3,4794,0.0562
O15230,4636,0.0543
Q14517,4605,0.054
P98164,4600,0.0539
Q9H251,4553,0.0534
Q5CZC0,4507,0.0528
Q9UQ35,4424,0.0519
Q9NYC9,4391,0.0515
Q15413,4381,0.0514
P35555,4369,0.0512
P08F94,4360,0.0511
Q9P2D7,4352,0.051
Q9NU22,4335,0.0508
P12111,4313,0.0506
Q8NEZ4,4239,0.0497
Q9NZJ4,4192,0.0491
Q92508,4170,0.0489
O95180,4118,0.0483
Q01484,4115,0.0482
O95613,4114,0.0482
Q9NYQ8,4081,0.0478
P15924,4068,0.0477
Q9NRC6,4042,0.0474
Q99996,3981,0.0467
O75417,3981,0.0467
Q15911,3976,0.0466
Q14315,3939,0.0462
Q9UKN7,3893,0.0456
Q9P225,3875,0.0454
O60494,3871,0.0454
O94761,3869,0.0454
Q9P2P6,3801,0.0446
Q4G0P3,3788,0.0444
P24043,3777,0.0443
Q99698,3765,0.0441
P78509,3762,0.0441
O95714,3749,0.0439
Q9UM73,3746,0.0439
Q9UPY3,3729,0.0437
Q8TDW7,3725,0.0437
Q5T011,3706,0.0434
Q96M86,3705,0.0434
Q8WXX0,3703,0.0434
Q86WI1,3691,0.0433
Q02388,3616,0.0424
P13611,3614,0.0424
Q9UPA5,3607,0.0423
Q6UB99,3563,0.0418
Q5S007,3562,0.0418
Q5THJ4,3558,0.0417
Q8NCM8,3551,0.0416
Q12955,3527,0.0413
Q9NZR2,3523,0.0413
Q96JQ0,3502,0.0411
Q8IZT6,3481,0.0408
Q86TB3,3406,0.0399
Q99715,3403,0.0399
Q709C8,3371,0.0395
Q8N3K9,3370,0.0395
P35556,3351,0.0393
P58107,3343,0.0392
O15417,3309,0.0388
Q5SZK8,3291,0.0386
Q9NR09,3262,0.0382
P46531,3246,0.0381
Q15751,3232,0.0379
Q5T4S7,3224,0.0378
Q9BX63,3220,0.0377
Q15772,3202,0.0375
P25391,3198,0.0375
Q75N90,3186,0.0373
Q6ZRS2,3146,0.0369
P46013,3143,0.0368
P12883,3138,0.0368
O15360,3132,0.0367
P38398,3125,0.0366
Q86YC2,3118,0.0366
Q96JI7,3114,0.0365
P78363,3111,0.0365
Q6V1P9,3081,0.0361
P54278,3069,0.036
Q9P2D1,3038,0.0356
P20585,3030,0.0355
Q13535,3025,0.0355
P49792,3024,0.0354
P13569,3024,0.0354
Q13635,3021,0.0354
