Amino_acids,Count,Proportion(%)
A/T,226384,2.9739
A/V,210767,2.7688
P/L,204899,2.6917
R/Q,184593,2.425
E/K,169149,2.2221
P/S,166114,2.1822
R/H,148689,1.9533
G/R,148432,1.9499
R/C,140175,1.8414
I/V,133948,1.7596
V/I,131175,1.7232
R/W,124022,1.6292
V/M,123283,1.6195
T/I,120602,1.5843
D/N,118302,1.5541
G/S,109168,1.4341
V/L,104917,1.3783
N/S,102638,1.3483
L/F,101806,1.3374
L/V,98685,1.2964
T/A,97675,1.2831
A/S,90081,1.1834
I/T,86111,1.1312
R/G,85983,1.1295
E/D,79452,1.0437
L/P,79119,1.0394
K/R,78427,1.0303
G/D,77933,1.0238
S/N,75606,0.9932
T/M,75125,0.9869
V/A,74352,0.9767
Q/R,73393,0.9641
F/L,73347,0.9635
D/E,73150,0.961
P/R,72509,0.9525
S/L,71436,0.9384
P/A,71055,0.9334
M/V,69959,0.919
P/T,69212,0.9092
R/L,68722,0.9028
S/F,68487,0.8997
Y/C,66857,0.8783
G/V,66739,0.8767
G/E,66643,0.8755
S/R,66545,0.8742
K/E,65449,0.8598
D/G,64492,0.8472
T/S,61835,0.8123
E/Q,61757,0.8113
H/R,61502,0.8079
Q/H,60210,0.791
A/G,60022,0.7885
E/G,59873,0.7865
K/N,56807,0.7463
G/A,55105,0.7239
S/G,54855,0.7206
S/C,54724,0.7189
S/T,53525,0.7031
H/Y,53507,0.7029
M/I,52675,0.692
R/S,51953,0.6825
N/K,51832,0.6809
M/T,51692,0.6791
I/M,50850,0.668
A/P,49411,0.6491
S/P,48672,0.6394
R/P,46600,0.6122
C/Y,44416,0.5835
Q/E,41213,0.5414
D/H,40771,0.5356
H/Q,40565,0.5329
R/K,39809,0.523
N/D,38826,0.51
D/Y,38780,0.5094
A/D,35050,0.4604
T/N,34563,0.454
D/V,31879,0.4188
Y/H,31566,0.4147
C/R,31538,0.4143
L/R,30595,0.4019
I/L,29680,0.3899
V/F,29678,0.3899
M/L,28983,0.3807
Q/K,28877,0.3793
P/H,28478,0.3741
A/E,28452,0.3738
G/C,27814,0.3654
E/A,27396,0.3599
L/I,27222,0.3576
K/T,26288,0.3453
L/M,26161,0.3437
K/Q,25888,0.3401
S/Y,24710,0.3246
V/G,24612,0.3233
F/S,24367,0.3201
T/P,24359,0.32
P/Q,24263,0.3187
Q/P,24130,0.317
S/A,24055,0.316
C/S,24005,0.3153
T/R,24000,0.3153
T/K,23233,0.3052
I/F,22732,0.2986
S/I,22424,0.2946
E/V,21857,0.2871
L/S,20536,0.2698
R/T,18949,0.2489
N/H,18314,0.2406
C/F,17265,0.2268
W/R,17132,0.2251
N/T,16342,0.2147
I/N,15998,0.2102
H/P,15929,0.2093
Q/L,15587,0.2048
D/A,15584,0.2047
N/I,15432,0.2027
H/L,14696,0.1931
H/N,14651,0.1925
W/C,14595,0.1917
L/Q,14410,0.1893
G/W,14361,0.1887
F/V,13902,0.1826
F/C,13660,0.1794
Y/F,13578,0.1784
C/G,12661,0.1663
H/D,12655,0.1662
I/S,11476,0.1508
M/R,11129,0.1462
M/K,11045,0.1451
N/Y,10811,0.142
V/E,10459,0.1374
C/W,10246,0.1346
Y/S,9837,0.1292
L/H,9723,0.1277
S/W,9671,0.127
F/I,9568,0.1257
F/Y,9292,0.1221
V/D,9047,0.1188
K/M,8288,0.1089
Y/N,7239,0.0951
R/I,7042,0.0925
L/W,6657,0.0875
K/I,6310,0.0829
Y/D,6012,0.079
W/S,4950,0.065
W/L,4867,0.0639
W/G,4857,0.0638
R/M,4636,0.0609
I/K,3340,0.0439
I/R,3242,0.0426
U/W,1,0.0
U/S,1,0.0
U/R,1,0.0
U/C,1,0.0
