Gene_symbol,Count,Proportion(%)
MUC4,14521,0.1908
AHNAK2,10231,0.1344
FLG,9273,0.1218
SYNE1,8993,0.1181
NEB,8491,0.1115
ATM,8296,0.109
APC,8064,0.1059
MUC5B,7495,0.0985
PKD1,7158,0.094
RYR1,6944,0.0912
USH2A,6872,0.0903
ADGRV1,6763,0.0888
SYNE2,6500,0.0854
MUC17,6231,0.0819
BRCA2,6108,0.0802
ALMS1,5914,0.0777
AHNAK,5880,0.0772
POLE,5880,0.0772
KMT2D,5855,0.0769
NF1,5815,0.0764
DNAH11,5775,0.0759
RYR2,5704,0.0749
HMCN1,5598,0.0735
PCLO,5388,0.0708
APOB,5177,0.068
HSPG2,5100,0.067
CSMD1,5025,0.066
TSC2,5000,0.0657
DNAH17,4919,0.0646
CCDC168,4806,0.0631
TNXB,4787,0.0629
MSH6,4761,0.0625
PRKDC,4760,0.0625
RP1L1,4719,0.062
HRNR,4707,0.0618
DNAH5,4634,0.0609
FAT1,4591,0.0603
LAMA5,4576,0.0601
CDH23,4543,0.0597
FSIP2,4499,0.0591
SRRM2,4402,0.0578
PKHD1,4357,0.0572
FBN1,4341,0.057
MDN1,4279,0.0562
LRP2,4279,0.0562
COL6A3,4229,0.0556
RYR3,4210,0.0553
KMT2C,4187,0.055
PCNT,4114,0.054
CACNA1H,4103,0.0539
SACS,4100,0.0539
PIEZO1,4097,0.0538
ANK2,4047,0.0532
FAT2,4044,0.0531
DSP,4030,0.0529
SPTBN5,4024,0.0529
AKAP9,3974,0.0522
ZFHX3,3939,0.0517
DNAH9,3922,0.0515
POLQ,3862,0.0507
FLNC,3858,0.0507
MYO15A,3842,0.0505
DNAH1,3831,0.0503
RECQL4,3828,0.0503
CUBN,3816,0.0501
HYDIN,3780,0.0497
LAMA2,3764,0.0494
STARD9,3754,0.0493
ALK,3739,0.0491
LYST,3722,0.0489
FAT3,3709,0.0487
RELN,3702,0.0486
SZT2,3672,0.0482
DNHD1,3658,0.0481
HERC2,3655,0.048
PKHD1L1,3641,0.0478
DICER1,3617,0.0475
BSN,3594,0.0472
VCAN,3568,0.0469
COL7A1,3559,0.0468
VPS13D,3533,0.0464
ANKRD11,3504,0.046
ANK3,3479,0.0457
DCHS1,3475,0.0457
ASPM,3460,0.0455
DNAH2,3440,0.0452
LRRK2,3420,0.0449
COL12A1,3387,0.0445
ALPK2,3386,0.0445
DYNC2H1,3354,0.0441
CMYA5,3353,0.044
VPS13C,3351,0.044
FBN2,3339,0.0439
TNRC18,3306,0.0434
DNAH7,3283,0.0431
LRP1B,3262,0.0429
FREM2,3257,0.0428
EPPK1,3256,0.0428
BIRC6,3231,0.0424
NOTCH1,3220,0.0423
UBR4,3211,0.0422
LAMA1,3197,0.042
SPEG,3176,0.0417
FBN3,3157,0.0415
HERC1,3150,0.0414
FANCA,3124,0.041
MKI67,3107,0.0408
SRCAP,3103,0.0408
MYH7,3086,0.0405
DCHS2,3065,0.0403
SPG11,3028,0.0398
CHD7,3001,0.0394
EYS,2997,0.0394
LAMA3,2993,0.0393
PTCH1,2991,0.0393
PALB2,2972,0.039
CFTR,2969,0.039
ABCA4,2949,0.0387
BRCA1,2921,0.0384
PMS2,2913,0.0383
CSMD3,2897,0.0381
TG,2894,0.038
