SWISSPROT,Count,Proportion(%)
Q99102,14521,0.1908
Q8IVF2,10231,0.1344
P20930,9273,0.1218
Q8NF91,8993,0.1181
P20929,8491,0.1115
Q13315,8296,0.109
P25054,8064,0.1059
Q9HC84,7495,0.0985
P98161,7158,0.094
P21817,6944,0.0912
O75445,6872,0.0903
Q8WXG9,6763,0.0888
Q8WXH0,6500,0.0854
Q685J3,6231,0.0819
P51587,6108,0.0802
Q8TCU4,5914,0.0777
Q09666,5880,0.0772
Q07864,5880,0.0772
O14686,5855,0.0769
P21359,5815,0.0764
Q96DT5,5775,0.0759
Q92736,5704,0.0749
Q96RW7,5598,0.0735
Q9Y6V0,5388,0.0708
P04114,5177,0.068
P98160,5100,0.067
Q96PZ7,5025,0.066
P49815,5000,0.0657
Q9UFH2,4919,0.0646
Q8NDH2,4806,0.0631
P22105,4787,0.0629
P52701,4761,0.0625
P78527,4760,0.0625
Q8IWN7,4719,0.062
Q86YZ3,4707,0.0618
Q8TE73,4634,0.0609
Q14517,4591,0.0603
O15230,4576,0.0601
Q9H251,4543,0.0597
Q5CZC0,4499,0.0591
Q9UQ35,4402,0.0578
P08F94,4357,0.0572
P35555,4341,0.057
Q9NU22,4279,0.0562
P98164,4279,0.0562
P12111,4229,0.0556
Q15413,4210,0.0553
Q8NEZ4,4187,0.055
O95613,4114,0.054
O95180,4103,0.0539
Q9NZJ4,4100,0.0539
Q92508,4097,0.0538
Q01484,4047,0.0532
Q9NYQ8,4044,0.0531
P15924,4030,0.0529
Q9NRC6,4024,0.0529
Q99996,3974,0.0522
Q15911,3939,0.0517
Q9NYC9,3922,0.0515
O75417,3862,0.0507
Q14315,3858,0.0507
Q9UKN7,3842,0.0505
Q9P2D7,3831,0.0503
O94761,3828,0.0503
O60494,3816,0.0501
Q4G0P3,3780,0.0497
P24043,3764,0.0494
Q9P2P6,3754,0.0493
Q9UM73,3739,0.0491
Q99698,3722,0.0489
Q8TDW7,3709,0.0487
P78509,3702,0.0486
Q5T011,3672,0.0482
Q96M86,3658,0.0481
O95714,3655,0.048
Q86WI1,3641,0.0478
Q9UPY3,3617,0.0475
Q9UPA5,3594,0.0472
P13611,3568,0.0469
Q02388,3559,0.0468
Q5THJ4,3533,0.0464
Q6UB99,3504,0.046
Q12955,3479,0.0457
Q96JQ0,3475,0.0457
Q8IZT6,3460,0.0455
Q9P225,3440,0.0452
Q5S007,3420,0.0449
Q99715,3387,0.0445
Q86TB3,3386,0.0445
Q8NCM8,3354,0.0441
Q8N3K9,3353,0.044
Q709C8,3351,0.044
P35556,3339,0.0439
O15417,3306,0.0434
Q8WXX0,3283,0.0431
Q9NZR2,3262,0.0429
Q5SZK8,3257,0.0428
P58107,3256,0.0428
Q9NR09,3231,0.0424
P46531,3220,0.0423
Q5T4S7,3211,0.0422
P25391,3197,0.042
Q15772,3176,0.0417
Q75N90,3157,0.0415
Q15751,3150,0.0414
O15360,3124,0.041
P46013,3107,0.0408
Q6ZRS2,3103,0.0408
P12883,3086,0.0405
Q6V1P9,3065,0.0403
Q96JI7,3028,0.0398
Q9P2D1,3001,0.0394
Q5T1H1,2997,0.0394
Q16787,2993,0.0393
Q13635,2991,0.0393
Q86YC2,2972,0.039
P13569,2969,0.039
P78363,2949,0.0387
P38398,2921,0.0384
P54278,2913,0.0383
Q7Z407,2897,0.0381
P01266,2894,0.038
Q13402,2892,0.038
Q9BX63,2889,0.038
Q92878,2888,0.0379
Q4LDE5,2882,0.0379
A2RRP1,2880,0.0378
Q7Z5N4,2872,0.0377
Q13535,2871,0.0377
Q96T58,2864,0.0376
P20585,2845,0.0374
Q14204,2823,0.0371
P46939,2819,0.037
P49792,2812,0.0369
Q8NF50,2811,0.0369
Q9Y493,2798,0.0368
Q8IUG5,2793,0.0367
Q12802,2779,0.0365
Q8IY92,2764,0.0363
Q9HCU4,2755,0.0362
P04275,2755,0.0362
P54132,2753,0.0362
Q07283,2751,0.0361
Q7Z333,2745,0.0361
Q07954,2742,0.036
O95359,2736,0.0359
Q6P3W6,2726,0.0358
P35749,2709,0.0356
Q5H8C1,2693,0.0354
Q9UMN6,2686,0.0353
Q9NYQ7,2674,0.0351
O75369,2661,0.035
O00555,2661,0.035
Q8IYD8,2658,0.0349
Q8IZY2,2657,0.0349
Q15154,2628,0.0345
Q8TDX9,2627,0.0345
P02549,2624,0.0345
Q9Y5Y9,2620,0.0344
P08581,2620,0.0344
O43451,2611,0.0343
P28340,2603,0.0342
Q15858,2597,0.0341
Q8WUY3,2588,0.034
O75970,2583,0.0339
Q9NY15,2574,0.0338
Q14191,2570,0.0338
Q13698,2567,0.0337
O43149,2565,0.0337
Q86XX4,2563,0.0337
P13533,2558,0.0336
O15027,2539,0.0334
Q9H2D6,2539,0.0334
O75592,2538,0.0333
P49454,2536,0.0333
O60437,2520,0.0331
P54296,2504,0.0329
Q9HCE0,2490,0.0327
Q5HYC2,2488,0.0327
Q96RL7,2486,0.0327
Q96L96,2485,0.0326
O00468,2483,0.0326
Q5TZA2,2479,0.0326
Q9Y618,2477,0.0325
Q6WRI0,2477,0.0325
P51532,2475,0.0325
P43246,2471,0.0325
Q70CQ2,2454,0.0322
Q68DK2,2454,0.0322
Q7Z7M0,2449,0.0322
P35498,2449,0.0322
Q6ZNJ1,2444,0.0321
Q8WWQ8,2434,0.032
Q9C0G6,2413,0.0317
O15018,2409,0.0316
P49327,2406,0.0316
P12830,2402,0.0316
Q15652,2392,0.0314
P56715,2390,0.0314
Q9UHC1,2390,0.0314
Q7Z5J4,2390,0.0314
Q6W4X9,2377,0.0312
Q9HCM3,2373,0.0312
P48634,2368,0.0311
Q92817,2367,0.0311
Q9Y2T1,2365,0.0311
Q8NFC6,2364,0.0311
Q6ZS81,2362,0.031
Q9HC10,2361,0.031
Q99973,2361,0.031
P07949,2350,0.0309
Q8IYW2,2350,0.0309
Q14896,2345,0.0308
P15822,2339,0.0307
P18583,2329,0.0306
O75147,2321,0.0305
O75962,2314,0.0304
Q9BV73,2311,0.0304
Q92793,2311,0.0304
P35499,2311,0.0304
Q15746,2310,0.0303
O15078,2302,0.0302
Q9UM47,2301,0.0302
P42858,2301,0.0302
Q96HP0,2297,0.0302
Q6UVK1,2285,0.03
P02751,2277,0.0299
O95996,2274,0.0299
Q6N022,2267,0.0298
Q92574,2261,0.0297
P20908,2252,0.0296
O15020,2226,0.0292
Q96Q15,2220,0.0292
Q8N201,2220,0.0292
O60333,2217,0.0291
Q96L73,2206,0.029
Q14207,2199,0.0289
Q6ZQQ2,2193,0.0288
Q5JSZ5,2191,0.0288
O60522,2186,0.0287
Q5VT06,2184,0.0287
A6H8Y1,2175,0.0286
P31629,2175,0.0286
P78559,2172,0.0285
Q9Y4G6,2169,0.0285
Q5D862,2166,0.0285
Q96KV7,2163,0.0284
O75691,2160,0.0284
Q9ULI4,2158,0.0283
P24821,2157,0.0283
P54098,2157,0.0283
Q9BTC0,2152,0.0283
Q99728,2149,0.0282
O76024,2149,0.0282
Q5T1R4,2149,0.0282
Q9NT68,2147,0.0282
Q9P1Y6,2147,0.0282
P12107,2142,0.0281
Q09472,2141,0.0281
O60673,2140,0.0281
Q5UIP0,2139,0.0281
Q04721,2135,0.028
O60318,2135,0.028
Q86YV5,2131,0.028
P11277,2127,0.0279
O60281,2125,0.0279
O15021,2125,0.0279
Q9H4A3,2123,0.0279
P16234,2110,0.0277
Q14678,2106,0.0277
P14410,2098,0.0276
Q9Y6N6,2091,0.0275
Q9P219,2090,0.0275
Q9Y3R5,2090,0.0275
Q6YHU6,2083,0.0274
Q8IZC6,2076,0.0273
Q86VV8,2067,0.0272
P35670,2066,0.0271
Q14767,2062,0.0271
O75443,2058,0.027
A6NMZ7,2058,0.027
Q5VWN6,2057,0.027
Q8IZQ1,2049,0.0269
O95425,2048,0.0269
O75161,2045,0.0269
P11717,2044,0.0269
Q9BYW2,2043,0.0268
P52179,2031,0.0267
O43497,2028,0.0266
P40692,2025,0.0266
Q4AC94,2021,0.0265
Q2KJY2,2013,0.0264
Q8IZJ3,2009,0.0264
Q5VW36,2008,0.0264
Q14687,2006,0.0264
Q8N6G6,2002,0.0263
Q9NZM1,2000,0.0263
Q96N23,1996,0.0262
Q9C0G0,1994,0.0262
Q9NZ71,1991,0.0262
Q2M1P5,1990,0.0261
Q96PE2,1986,0.0261
Q92794,1975,0.0259
Q9ULV0,1968,0.0259
Q96RY7,1966,0.0258
Q96QB1,1964,0.0258
Q8IWT3,1964,0.0258
Q3ZCN5,1963,0.0258
Q8TEP8,1962,0.0258
O94915,1962,0.0258
O75197,1958,0.0257
Q9P273,1957,0.0257
P55268,1955,0.0257
P16144,1955,0.0257
Q8TD84,1944,0.0255
Q8N653,1942,0.0255
Q86UK0,1938,0.0255
B2RTY4,1934,0.0254
Q7Z2Z1,1931,0.0254
Q58EX2,1926,0.0253
P00533,1923,0.0253
Q14980,1921,0.0252
Q12923,1917,0.0252
Q9BZZ2,1915,0.0252
Q9C0F0,1914,0.0251
Q13023,1913,0.0251
Q9UI33,1913,0.0251
Q4ZHG4,1913,0.0251
Q96RT7,1904,0.025
P02461,1895,0.0249
P21333,1891,0.0248
O00763,1891,0.0248
O95255,1889,0.0248
Q9HCK1,1886,0.0248
Q9BXM0,1885,0.0248
Q702N8,1883,0.0247
P12259,1882,0.0247
Q6Q759,1878,0.0247
Q92673,1874,0.0246
Q14573,1869,0.0246
Q9NZ56,1869,0.0246
Q8N4C6,1866,0.0245
Q14643,1865,0.0245
Q9Y6X0,1865,0.0245
Q8TF72,1865,0.0245
Q5TBA9,1863,0.0245
Q5VUA4,1862,0.0245
Q96JM2,1856,0.0244
Q2TAZ0,1853,0.0243
P10071,1853,0.0243
Q9ULD2,1850,0.0243
Q9ULL5,1848,0.0243
Q8TE60,1848,0.0243
Q9BQG0,1843,0.0242
Q8WYP5,1840,0.0242
Q9UKX3,1840,0.0242
Q9UGU0,1835,0.0241
O15015,1831,0.0241
P12110,1830,0.024
Q5T5P2,1828,0.024
Q9C0D2,1825,0.024
Q9C0A1,1821,0.0239
Q15878,1819,0.0239
Q8TEM1,1816,0.0239
Q7Z7A1,1816,0.0239
O60292,1815,0.0238
P35573,1815,0.0238
Q9H254,1815,0.0238
P53420,1812,0.0238
Q8NB66,1811,0.0238
Q9P212,1809,0.0238
O60287,1807,0.0237
Q86WG5,1805,0.0237
Q562E7,1803,0.0237
O95477,1798,0.0236
Q9UHC6,1797,0.0236
Q02224,1796,0.0236
P49750,1795,0.0236
Q9UKP4,1790,0.0235
Q96SN8,1789,0.0235
Q8TE82,1788,0.0235
Q9HD67,1787,0.0235
O00411,1787,0.0235
Q8IVL0,1785,0.0234
Q7RTP6,1782,0.0234
Q68DQ2,1781,0.0234
Q00975,1780,0.0234
P23471,1780,0.0234
Q96RV3,1776,0.0233
O75095,1775,0.0233
Q9Y2F5,1774,0.0233
Q4ZG55,1774,0.0233
O14497,1773,0.0233
Q13439,1772,0.0233
Q01668,1772,0.0233
Q8WVB6,1771,0.0233
P82279,1769,0.0232
P07942,1767,0.0232
P10253,1766,0.0232
A6NKB5,1766,0.0232
Q86VF7,1766,0.0232
Q8NFW1,1766,0.0232
P41180,1765,0.0232
P42345,1764,0.0232
O14746,1764,0.0232
P35658,1763,0.0232
Q76NI1,1763,0.0232
P08123,1762,0.0231
Q6ZU64,1761,0.0231
Q96Q06,1761,0.0231
Q86TC9,1756,0.0231
A6NGG8,1755,0.0231
Q7Z443,1753,0.023
Q9H3S7,1751,0.023
O96017,1751,0.023
P08519,1750,0.023
Q9UKX2,1749,0.023
Q3L8U1,1748,0.023
Q9HBL0,1748,0.023
Q9Y238,1746,0.0229
P02458,1743,0.0229
Q9H583,1741,0.0229
Q6KC79,1740,0.0229
O75185,1738,0.0228
O60303,1736,0.0228
Q9NTG1,1733,0.0228
Q9Y6J0,1731,0.0227
O94759,1730,0.0227
P01130,1729,0.0227
O14513,1728,0.0227
Q9P2N4,1728,0.0227
Q9H9J4,1724,0.0226
O60934,1723,0.0226
P11055,1722,0.0226
Q8WYB5,1721,0.0226
Q14524,1719,0.0226
Q9HCK8,1718,0.0226
P46821,1718,0.0226
Q96N67,1716,0.0225
Q14966,1712,0.0225
P10721,1709,0.0225
Q99758,1707,0.0224
Q9C0C2,1704,0.0224
O15054,1702,0.0224
Q8NEV8,1702,0.0224
Q7Z7G8,1701,0.0223
Q5SXM2,1699,0.0223
E9PAV3,1699,0.0223
Q14686,1699,0.0223
Q8TD26,1698,0.0223
Q8IZF6,1692,0.0222
Q9HCM1,1690,0.0222
P12882,1690,0.0222
Q9Y623,1689,0.0222
Q14160,1686,0.0221
P59510,1685,0.0221
Q92616,1682,0.0221
Q86UK5,1681,0.0221
Q9NR99,1681,0.0221
Q9H6A9,1681,0.0221
Q9NVI1,1680,0.0221
Q9UPS8,1678,0.022
P02462,1678,0.022
Q2M3C7,1673,0.022
Q99250,1673,0.022
Q5TGY3,1672,0.022
Q8IYB7,1672,0.022
Q6ZUB1,1670,0.0219
Q92614,1668,0.0219
A8K2U0,1667,0.0219
Q9H9B1,1666,0.0219
Q86UR5,1663,0.0218
P23468,1661,0.0218
Q68DE3,1660,0.0218
P25940,1657,0.0218
Q38SD2,1652,0.0217
P02452,1651,0.0217
Q13459,1650,0.0217
O43157,1649,0.0217
Q9P2K1,1648,0.0216
Q9C093,1646,0.0216
Q14126,1644,0.0216
Q8IZD2,1644,0.0216
O15047,1641,0.0216
Q9UIW2,1641,0.0216
Q12789,1640,0.0215
P08572,1637,0.0215
Q14571,1637,0.0215
Q9UPZ6,1630,0.0214
Q71F56,1628,0.0214
Q14667,1626,0.0214
O43345,1626,0.0214
Q01082,1625,0.0213
Q9NY46,1625,0.0213
Q96BY7,1624,0.0213
Q9UPV0,1623,0.0213
Q5JPB2,1623,0.0213
Q13332,1620,0.0213
Q14999,1618,0.0213
Q9UG01,1618,0.0213
Q01955,1616,0.0212
P16157,1615,0.0212
Q8IZX4,1615,0.0212
O75140,1613,0.0212
Q5VTT5,1613,0.0212
O15061,1609,0.0211
Q9UMD9,1608,0.0211
P59046,1606,0.0211
P10586,1605,0.0211
A3KMH1,1604,0.0211
Q8NFU7,1602,0.021
Q12809,1602,0.021
Q8IXJ9,1598,0.021
Q9P2R6,1596,0.021
Q92766,1595,0.021
Q14766,1594,0.0209
P50748,1594,0.0209
Q86V15,1593,0.0209
Q15643,1589,0.0209
P06400,1586,0.0208
Q5JRA6,1584,0.0208
O95153,1583,0.0208
Q9UJ55,1582,0.0208
Q5TH69,1581,0.0208
A4D0S4,1581,0.0208
Q14028,1580,0.0208
Q86YA3,1578,0.0207
Q6N021,1575,0.0207
Q9Y566,1575,0.0207
P53804,1573,0.0207
Q14676,1572,0.0207
P05997,1571,0.0206
Q9HAZ2,1571,0.0206
Q9UIF8,1570,0.0206
Q2WGJ9,1569,0.0206
Q8NDV7,1567,0.0206
Q5T481,1567,0.0206
Q6TFL3,1567,0.0206
Q96BY6,1566,0.0206
P0C091,1565,0.0206
Q5T5U3,1564,0.0205
Q9NR48,1564,0.0205
Q96Q89,1563,0.0205
Q9Y2I6,1563,0.0205
Q92621,1562,0.0205
Q9BXP8,1561,0.0205
Q3T8J9,1561,0.0205
Q8TDM6,1560,0.0205
O75051,1557,0.0205
Q92576,1554,0.0204
Q08378,1548,0.0203
Q12879,1548,0.0203
P16885,1546,0.0203
P13535,1546,0.0203
P10745,1546,0.0203
Q99466,1542,0.0203
Q7Z6Z7,1541,0.0202
Q9Y4D7,1539,0.0202
P42704,1537,0.0202
Q5VV67,1537,0.0202
Q9Y2I7,1536,0.0202
Q9H792,1536,0.0202
Q96HA7,1535,0.0202
Q8TD43,1533,0.0201
Q6DT37,1531,0.0201
Q9UKK3,1530,0.0201
Q5RHP9,1530,0.0201
Q7Z3J3,1530,0.0201
Q5THK1,1528,0.0201
O75376,1527,0.0201
P82987,1525,0.02
Q8IWK6,1523,0.02
O75038,1523,0.02
P59047,1523,0.02
A6NKT7,1522,0.02
Q14690,1520,0.02
O60566,1520,0.02
Q6UB98,1518,0.0199
Q6P1J6,1518,0.0199
Q0VF96,1516,0.0199
Q8N2Y8,1516,0.0199
D6RIA3,1513,0.0199
Q2NKJ3,1512,0.0199
Q9UHV7,1511,0.0198
Q9UKA4,1509,0.0198
Q17RW2,1506,0.0198
E5RHQ5,1504,0.0198
Q9P2P1,1502,0.0197
Q6ZRV2,1501,0.0197
O75096,1499,0.0197
A6QL64,1498,0.0197
O75165,1498,0.0197
Q02952,1497,0.0197
Q02505,1496,0.0197
Q9GZU2,1495,0.0196
Q09428,1495,0.0196
Q86UU0,1495,0.0196
Q9H4Z2,1494,0.0196
Q92887,1493,0.0196
P42695,1493,0.0196
Q9Y3Q4,1490,0.0196
Q9BXA9,1488,0.0195
A1KZ92,1487,0.0195
A6NE01,1487,0.0195
Q96JM4,1484,0.0195
Q8NEV4,1483,0.0195
Q8WZ64,1482,0.0195
A6NIJ5,1480,0.0194
Q5DID0,1479,0.0194
Q8N1P7,1476,0.0194
Q9UPS6,1475,0.0194
P35579,1475,0.0194
Q9H7D0,1474,0.0194
P0DPF3,1472,0.0193
Q6ZNL6,1469,0.0193
Q96AY4,1465,0.0192
O60423,1461,0.0192
Q8TF17,1461,0.0192
Q5SRE5,1461,0.0192
O60469,1460,0.0192
Q68CZ1,1460,0.0192
Q8IVE3,1460,0.0192
Q9P2D3,1459,0.0192
Q99814,1458,0.0192
Q9Y490,1458,0.0192
Q9NZM4,1457,0.0191
P12109,1456,0.0191
Q14203,1455,0.0191
P11137,1454,0.0191
Q70J99,1454,0.0191
Q8IVF5,1453,0.0191
Q9NQX4,1452,0.0191
Q9UPX8,1451,0.0191
Q5JWR5,1450,0.019
O15438,1450,0.019
P12270,1450,0.019
Q9BXW9,1448,0.019
A6NHR9,1447,0.019
Q8TE56,1447,0.019
O94986,1447,0.019
A1L4H1,1446,0.019
Q9C000,1444,0.019
Q86VI3,1444,0.019
Q8N2E2,1442,0.0189
P42356,1441,0.0189
Q86WI3,1440,0.0189
Q5VYJ5,1439,0.0189
Q9BYX4,1439,0.0189
O14924,1439,0.0189
Q9C0D5,1437,0.0189
Q9NXG0,1435,0.0189
P35221,1435,0.0189
Q6F5E8,1434,0.0188
Q9NRJ4,1434,0.0188
Q6EMB2,1432,0.0188
Q07092,1430,0.0188
O43683,1430,0.0188
Q2M3G0,1429,0.0188
Q9P2F8,1428,0.0188
Q9Y6N7,1428,0.0188
Q6P0Q8,1428,0.0188
Q03468,1426,0.0187
Q5K651,1425,0.0187
P12821,1424,0.0187
A6NC98,1424,0.0187
Q9NQT8,1423,0.0187
O15056,1422,0.0187
Q8TER5,1421,0.0187
O43299,1420,0.0187
Q9Y4F5,1417,0.0186
Q13029,1417,0.0186
O94823,1416,0.0186
Q5THR3,1416,0.0186
Q9H7P9,1416,0.0186
O15118,1415,0.0186
Q7Z745,1413,0.0186
Q9P218,1413,0.0186
O14976,1411,0.0185
Q2PPJ7,1411,0.0185
Q27J81,1411,0.0185
Q9UQP3,1410,0.0185
Q05707,1410,0.0185
Q9NRD9,1405,0.0185
Q7Z591,1405,0.0185
P39059,1404,0.0184
O95602,1403,0.0184
Q8IVG5,1402,0.0184
O60312,1402,0.0184
Q6ZMQ8,1400,0.0184
Q9C0A6,1399,0.0184
Q5T3U5,1396,0.0183
Q3V6T2,1395,0.0183
Q6ZMW3,1394,0.0183
Q86US8,1393,0.0183
P27708,1392,0.0183
Q7Z3S7,1390,0.0183
Q8N1W1,1389,0.0182
Q9UQD0,1389,0.0182
Q9NS15,1389,0.0182
Q9P0X4,1388,0.0182
Q8N1G1,1387,0.0182
Q13751,1385,0.0182
