Amino_acids,Count,Proportion(%)
R/Q,43127,4.6959
R/H,38650,4.2084
R/C,36641,3.9897
R/W,27878,3.0355
E/K,22626,2.4636
R/G,19653,2.1399
Y/C,19232,2.0941
R/L,16448,1.7909
D/N,16254,1.7698
N/S,15540,1.6921
P/L,14871,1.6192
I/V,14441,1.5724
F/L,12773,1.3908
P/S,12132,1.321
A/T,12021,1.3089
R/S,11782,1.2829
V/I,11672,1.2709
L/V,11565,1.2593
V/M,11542,1.2568
L/F,11510,1.2533
R/P,11377,1.2388
A/V,10981,1.1957
K/R,10798,1.1757
T/I,10789,1.1748
E/D,10500,1.1433
H/R,10370,1.1291
Q/R,10251,1.1162
I/T,9911,1.0792
Y/H,9720,1.0584
M/V,9680,1.054
H/Y,9611,1.0465
L/P,9597,1.045
D/E,9365,1.0197
V/L,9275,1.0099
Q/H,8634,0.9401
E/Q,8433,0.9182
G/R,8236,0.8968
T/A,8171,0.8897
R/K,8135,0.8858
D/G,7965,0.8673
K/E,7678,0.836
M/I,7666,0.8347
K/N,7561,0.8233
M/T,7549,0.822
N/K,7539,0.8209
T/M,7493,0.8159
E/G,7224,0.7866
H/Q,7010,0.7633
V/A,6785,0.7388
G/S,6304,0.6864
I/M,5921,0.6447
S/N,5813,0.6329
T/S,5667,0.6171
D/H,5486,0.5973
S/R,5351,0.5826
P/A,5348,0.5823
Q/E,5275,0.5744
N/D,5257,0.5724
P/R,5177,0.5637
P/T,5170,0.5629
D/Y,4971,0.5413
S/L,4731,0.5151
G/D,4585,0.4992
A/S,4576,0.4983
S/F,4479,0.4877
Y/F,4391,0.4781
F/S,4329,0.4714
S/T,4231,0.4607
M/L,4209,0.4583
S/C,4128,0.4495
S/G,3997,0.4352
Q/K,3980,0.4334
R/T,3883,0.4228
L/R,3788,0.4125
D/V,3734,0.4066
G/V,3731,0.4062
C/Y,3629,0.3951
K/T,3590,0.3909
K/Q,3464,0.3772
W/R,3457,0.3764
E/A,3446,0.3752
G/E,3407,0.371
A/G,3313,0.3607
G/A,3265,0.3555
Y/S,3216,0.3502
Q/P,3200,0.3484
I/L,3190,0.3473
T/N,3186,0.3469
L/M,3182,0.3465
S/P,3154,0.3434
L/I,3092,0.3367
W/C,2884,0.314
E/V,2747,0.2991
H/P,2575,0.2804
N/H,2571,0.2799
V/F,2534,0.2759
I/F,2518,0.2742
C/R,2509,0.2732
H/N,2508,0.2731
N/T,2484,0.2705
A/P,2448,0.2666
F/V,2378,0.2589
Y/N,2377,0.2588
L/S,2370,0.2581
Q/L,2329,0.2536
H/L,2327,0.2534
V/G,2270,0.2472
N/I,2246,0.2446
F/C,2219,0.2416
D/A,2160,0.2352
H/D,2139,0.2329
T/K,2127,0.2316
T/P,2113,0.2301
T/R,2072,0.2256
Y/D,1994,0.2171
C/S,1932,0.2104
P/H,1903,0.2072
S/I,1897,0.2066
A/D,1891,0.2059
I/N,1826,0.1988
L/Q,1715,0.1867
P/Q,1640,0.1786
F/Y,1638,0.1784
F/I,1622,0.1766
M/R,1613,0.1756
S/A,1607,0.175
S/Y,1588,0.1729
N/Y,1569,0.1708
M/K,1558,0.1696
A/E,1527,0.1663
G/C,1502,0.1635
I/S,1363,0.1484
C/F,1314,0.1431
K/M,1216,0.1324
R/I,1169,0.1273
L/H,1073,0.1168
V/E,1036,0.1128
W/L,1006,0.1095
W/G,999,0.1088
W/S,997,0.1086
C/G,986,0.1074
R/M,976,0.1063
C/W,882,0.096
V/D,777,0.0846
S/W,756,0.0823
L/W,755,0.0822
G/W,740,0.0806
K/I,701,0.0763
I/R,387,0.0421
I/K,361,0.0393
U/G,4,0.0004
U/R,4,0.0004
U/L,2,0.0002
U/S,2,0.0002
U/W,1,0.0001
U/C,1,0.0001
