Gene_symbol,Count,Proportion(%)
GLDC,910,0.0991
DNAH11,650,0.0708
DHTKD1,640,0.0697
ACADVL,612,0.0666
XDH,579,0.063
SDHB,576,0.0627
FH,560,0.061
ACOX3,559,0.0609
DNAH17,559,0.0609
OGDHL,546,0.0595
IGKV4-1,540,0.0588
ERCC2,534,0.0581
DNAH1,521,0.0567
IGHV2-70,520,0.0566
IGLV3-1,498,0.0542
DNAH5,487,0.053
SDHA,472,0.0514
DNAH9,469,0.0511
RAD51C,449,0.0489
CAD,436,0.0475
DNAH2,435,0.0474
ATM,432,0.047
PCCB,432,0.047
ACAD9,430,0.0468
FASN,421,0.0458
ACOX2,421,0.0458
DNAH7,420,0.0457
RAD51D,418,0.0455
GCDH,413,0.045
MSH2,402,0.0438
TUBA3E,395,0.043
MCCC2,395,0.043
ACACB,393,0.0428
IGKV1-5,393,0.0428
DDC,392,0.0427
AOX1,386,0.042
CPS1,384,0.0418
DPYD,374,0.0407
TUBB8B,370,0.0403
ALDH16A1,357,0.0389
TUBB1,355,0.0387
TUBA8,354,0.0385
GPT,354,0.0385
TKTL2,351,0.0382
ABAT,350,0.0381
PFKP,348,0.0379
PLOD1,343,0.0373
ACADM,343,0.0373
PHYKPL,343,0.0373
TUBAL3,342,0.0372
NECAB2,342,0.0372
HAL,339,0.0369
AGXT,339,0.0369
ASL,337,0.0367
PC,333,0.0363
IGKV3-20,333,0.0363
MMUT,332,0.0361
BRIP1,331,0.036
GPI,329,0.0358
NDUFS1,329,0.0358
IGHV1-2,326,0.0355
MDH2,325,0.0354
ACADS,323,0.0352
BCKDHA,322,0.0351
HGD,322,0.0351
MOCS1,322,0.0351
LRP2,321,0.035
NDUFV1,321,0.035
IGLV2-14,320,0.0348
MSH6,319,0.0347
AGXT2,316,0.0344
PFKL,312,0.034
PFAS,309,0.0336
ACOX1,309,0.0336
GADL1,308,0.0335
NADSYN1,304,0.0331
IGHV1-69,303,0.033
EML6,303,0.033
ADSL,300,0.0327
DHDDS,297,0.0323
MRE11,297,0.0323
IGKV3-11,297,0.0323
PLOD3,295,0.0321
BCKDHB,293,0.0319
GALT,292,0.0318
H6PD,291,0.0317
MTMR9,288,0.0314
ALDH4A1,288,0.0314
TEKT4,284,0.0309
IGHV3-33,284,0.0309
EHHADH,282,0.0307
CDKN1B,281,0.0306
ALDH7A1,281,0.0306
ACAD10,280,0.0305
CRAT,279,0.0304
CSAD,275,0.0299
PRSS1,275,0.0299
PDHA2,274,0.0298
ALDH18A1,274,0.0298
SEPSECS,274,0.0298
RYR1,273,0.0297
MOCOS,272,0.0296
WNT10A,272,0.0296
ACAD8,271,0.0295
IGHV3-7,271,0.0295
IGHV1-18,271,0.0295
DNAH6,270,0.0294
IDH1,270,0.0294
ASPG,270,0.0294
POLR1C,269,0.0293
PMPCA,269,0.0293
IGHV3-23,269,0.0293
IFNA16,268,0.0292
ASRGL1,266,0.029
ALDH1B1,263,0.0286
TKFC,263,0.0286
CIAO3,263,0.0286
ME1,262,0.0285
OPLAH,262,0.0285
SARS2,261,0.0284
HACL1,261,0.0284
LRP1B,261,0.0284
SPTLC2,261,0.0284
TKTL1,260,0.0283
UBA7,258,0.0281
SARDH,258,0.0281
ACCS,258,0.0281
CTU2,258,0.0281
MLH1,256,0.0279
AMACR,256,0.0279
IGLV3-21,256,0.0279
CCT2,255,0.0278
IFNA14,255,0.0278
DECR2,252,0.0274
PITRM1,252,0.0274
IFNA17,251,0.0273
HSD17B4,251,0.0273
APOA4,250,0.0272
CASP1,250,0.0272
CASP9,249,0.0271
SIRT3,249,0.0271
PHGDH,249,0.0271
PGD,249,0.0271
SDHD,248,0.027
TXNRD2,248,0.027
TUBA3D,247,0.0269
MEAK7,247,0.0269
SDHC,247,0.0269
IFNA10,247,0.0269
MTR,246,0.0268
ILVBL,246,0.0268
IGLV3-25,246,0.0268
CSHL1,246,0.0268
KYNU,245,0.0267
TRPM4,245,0.0267
BCAT2,245,0.0267
IFT140,245,0.0267
IFNA21,244,0.0266
GCAT,244,0.0266
GGTLC2,244,0.0266
CDKN2A,243,0.0265
CTSB,243,0.0265
IFNA7,242,0.0264
VHL,242,0.0264
SDHAF2,242,0.0264
RNASEH2A,242,0.0264
MMACHC,242,0.0264
SGPL1,241,0.0262
IGHV3-21,241,0.0262
PFKM,241,0.0262
OAT,240,0.0261
AMT,240,0.0261
NDUFS2,240,0.0261
SEC24A,239,0.026
DHRS2,239,0.026
PHYH,239,0.026
ACAT1,239,0.026
DHPS,239,0.026
IGHV4-39,239,0.026
ALDH5A1,239,0.026
CIMIP2A,238,0.0259
TNNI3,238,0.0259
GMPPB,238,0.0259
CPT2,237,0.0258
IFT172,237,0.0258
AGA,237,0.0258
IGLV1-44,237,0.0258
TKT,236,0.0257
GH1,235,0.0256
PKLR,234,0.0255
IGHV2-5,234,0.0255
RAPSN,234,0.0255
FGL1,233,0.0254
LRP5,233,0.0254
PGM1,232,0.0253
TUBB8,232,0.0253
PEPD,231,0.0252
ADSS1,231,0.0252
UPB1,231,0.0252
IFT80,230,0.025
HADHB,230,0.025
PMPCB,230,0.025
ALPL,229,0.0249
CPTP,229,0.0249
TUBA3C,229,0.0249
XRCC2,228,0.0248
SCLY,228,0.0248
MRPS2,228,0.0248
GPD1L,228,0.0248
UROC1,228,0.0248
CYC1,227,0.0247
HAO1,227,0.0247
NME4,227,0.0247
LDHAL6B,227,0.0247
SHMT1,226,0.0246
OXCT2,226,0.0246
ASS1,226,0.0246
ACAA2,226,0.0246
CASP2,226,0.0246
OGDH,225,0.0245
CCT6B,225,0.0245
ACOXL,224,0.0244
NPEPL1,224,0.0244
DPYSL4,224,0.0244
SLC12A3,224,0.0244
ATIC,223,0.0243
ADH1B,223,0.0243
GAMT,222,0.0242
FLAD1,222,0.0242
BARD1,221,0.0241
IMP4,221,0.0241
UQCRC1,221,0.0241
ALDH1L1,221,0.0241
RNASEH2C,221,0.0241
SUCLG2,221,0.0241
ADA2,221,0.0241
MOCS3,221,0.0241
UGGT2,220,0.024
RIOX2,220,0.024
CASP10,220,0.024
CIMIP2C,220,0.024
D2HGDH,220,0.024
HADHA,219,0.0238
ALDH3B2,219,0.0238
IGHV4-34,219,0.0238
SPTLC1,219,0.0238
ALDH3A1,219,0.0238
CASP4,219,0.0238
RYR2,218,0.0237
TPSAB1,218,0.0237
GGTLC1,218,0.0237
RCL1,218,0.0237
WNT3A,218,0.0237
IGLV1-40,218,0.0237
SHMT2,217,0.0236
CASP5,217,0.0236
IFNA4,217,0.0236
GINS2,216,0.0235
ACADSB,215,0.0234
PYCR3,214,0.0233
PYGM,214,0.0233
TUBG2,213,0.0232
RGPD4,213,0.0232
RANBP2,212,0.0231
IGLV2-23,212,0.0231
WNT7A,211,0.023
ARG1,211,0.023
RTEL1,211,0.023
ALPP,210,0.0229
SPTLC3,210,0.0229
PSAT1,210,0.0229
GINS1,210,0.0229
DCPS,210,0.0229
ECI1,210,0.0229
HDC,210,0.0229
SIRT5,210,0.0229
SKIC3,209,0.0228
AHCY,209,0.0228
CTRC,209,0.0228
IGLV3-19,208,0.0226
TTC21B,208,0.0226
CNTF,208,0.0226
ALDH3B1,207,0.0225
RGPD3,207,0.0225
IGLV1-47,207,0.0225
PCSK9,207,0.0225
GOT1L1,207,0.0225
BAP1,206,0.0224
GFPT2,206,0.0224
PMM2,206,0.0224
PSTPIP1,206,0.0224
WDR19,206,0.0224
CASP14,206,0.0224
PGM5,205,0.0223
ME3,205,0.0223
ALAS1,205,0.0223
IGLV4-60,205,0.0223
QTRT1,204,0.0222
BRCA1,204,0.0222
FTMT,203,0.0221
NBN,203,0.0221
MYL2,203,0.0221
WWOX,203,0.0221
MOB3A,203,0.0221
GPD1,203,0.0221
PDXDC1,202,0.022
NDUFA13,202,0.022
ISYNA1,202,0.022
BCAT1,202,0.022
IFNA5,202,0.022
LGSN,201,0.0219
AKR7A2,201,0.0219
CTH,200,0.0218
WNT5B,200,0.0218
ACADL,200,0.0218
AMPD1,200,0.0218
MTMR7,200,0.0218
HAO2,199,0.0217
ACCSL,199,0.0217
DNPEP,199,0.0217
PLA2G6,199,0.0217
DPEP1,199,0.0217
MPDZ,199,0.0217
TUBB6,199,0.0217
PTER,199,0.0217
ALDH6A1,198,0.0216
PPP3CC,198,0.0216
GH2,197,0.0215
DYNC2H1,197,0.0215
ENO3,197,0.0215
ASCC3,197,0.0215
ALDH1L2,197,0.0215
TANGO2,197,0.0215
IGKV3-15,197,0.0215
GMPR,196,0.0213
FARSA,196,0.0213
CNDP1,196,0.0213
MRI1,196,0.0213
PGM2,196,0.0213
TRMT9B,196,0.0213
CCT3,196,0.0213
ADHFE1,196,0.0213
CAPN3,195,0.0212
FGF22,195,0.0212
CNDP2,195,0.0212
PYCR1,195,0.0212
CSH1,194,0.0211
PRPS1L1,194,0.0211
DUS3L,194,0.0211
TALDO1,194,0.0211
GAD2,194,0.0211
IFNL3,194,0.0211
IGKV1-9,194,0.0211
HOGA1,193,0.021
WNT4,193,0.021
TUBD1,193,0.021
COQ7,193,0.021
HAAO,193,0.021
TRAP1,193,0.021
RIBC2,193,0.021
CCT5,192,0.0209
SGSH,192,0.0209
TDO2,192,0.0209
HLA-DRB1,191,0.0208
