SWISSPROT,Count,Proportion(%)
P62805,1091,0.1188
P23378,910,0.0991
P68431,852,0.0928
Q96DT5,650,0.0708
Q96HY7,640,0.0697
P49748,612,0.0666
P47989,579,0.063
P21912,576,0.0627
P07954,560,0.061
O15254,559,0.0609
Q9UFH2,559,0.0609
Q9ULD0,546,0.0595
P06312,540,0.0588
P18074,534,0.0581
Q9P2D7,521,0.0567
P01814,520,0.0566
P01715,498,0.0542
Q8TE73,487,0.053
P31040,472,0.0514
Q9NYC9,469,0.0511
P0C0S8,462,0.0503
O43502,449,0.0489
P27708,436,0.0475
Q9P225,435,0.0474
P05166,432,0.047
Q13315,432,0.047
Q9H845,430,0.0468
P49327,421,0.0458
Q99424,421,0.0458
Q8WXX0,420,0.0457
O75771,418,0.0455
Q92947,413,0.045
P43246,402,0.0438
Q6PEY2,395,0.043
Q9HCC0,395,0.043
O00763,393,0.0428
P01602,393,0.0428
P20711,392,0.0427
Q06278,386,0.042
P31327,384,0.0418
Q12882,374,0.0407
A6NNZ2,370,0.0403
P62807,363,0.0395
Q8IZ83,357,0.0389
Q9H4B7,355,0.0387
Q9NY65,354,0.0385
P24298,354,0.0385
Q9H0I9,351,0.0382
P80404,350,0.0381
Q01813,348,0.0379
P11310,343,0.0373
Q8IUZ5,343,0.0373
Q02809,343,0.0373
A6NHL2,342,0.0372
Q7Z6G3,342,0.0372
P42357,339,0.0369
P21549,339,0.0369
P04424,337,0.0367
P11498,333,0.0363
P01619,333,0.0363
P22033,332,0.0361
Q9BX63,331,0.036
P06744,329,0.0358
P28331,329,0.0358
P23083,326,0.0355
P40926,325,0.0354
P16219,323,0.0352
P12694,322,0.0351
Q93099,322,0.0351
Q9NZB8,322,0.0351
P98164,321,0.035
P49821,321,0.035
P01704,320,0.0348
P52701,319,0.0347
Q9BYV1,316,0.0344
P17858,312,0.034
Q15067,309,0.0336
O15067,309,0.0336
Q6ZQY3,308,0.0335
Q6IA69,304,0.0331
P01742,303,0.033
Q6ZMW3,303,0.033
P30566,300,0.0327
P04433,297,0.0323
P49959,297,0.0323
Q86SQ9,297,0.0323
O60568,295,0.0321
P21953,293,0.0319
P07902,292,0.0318
O95479,291,0.0317
Q96QG7,288,0.0314
P30038,288,0.0314
P01772,284,0.0309
Q8WW24,284,0.0309
P0DN86,284,0.0309
Q08426,282,0.0307
P46527,281,0.0306
P49419,281,0.0306
Q6JQN1,280,0.0305
P43155,279,0.0304
Q9Y600,275,0.0299
P07477,275,0.0299
P54886,274,0.0298
Q9HD40,274,0.0298
P29803,274,0.0298
P21817,273,0.0297
Q96EN8,272,0.0296
Q9GZT5,272,0.0296
P01780,271,0.0295
A0A0C4DH31,271,0.0295
Q9UKU7,271,0.0295
Q86U10,270,0.0294
O75874,270,0.0294
Q9C0G6,270,0.0294
Q10713,269,0.0293
O15160,269,0.0293
P01764,269,0.0293
