uniprot_id	protein_name	gene_name	organism	sequence_length	function
A0AAG2SUK6	Large ribosomal subunit protein uL23m	Not available	Homo sapiens	153	No function information available
Q9BTV7	CDK5 and ABL1 enzyme substrate 2	CABLES2	Homo sapiens	478	Unknown. Probably involved in G1-S cell cycle transition
Q9C0C6	CLOCK-interacting pacemaker	CIPC	Homo sapiens	399	Transcriptional repressor which may act as a negative-feedback regulator of CLOCK-BMAL1 transcriptional activity in the circadian-clock mechanism. May stimulate BMAL1-dependent phosphorylation of CLOCK. However, the physiological relevance of these observations is unsure, since experiments in an animal model showed that CIPC is not critially required for basic circadian clock
Q6PG37	Zinc finger protein 790	ZNF790	Homo sapiens	636	May be involved in transcriptional regulation
Q16548	Bcl-2-related protein A1	BCL2A1	Homo sapiens	175	Retards apoptosis induced by IL-3 deprivation. May function in the response of hemopoietic cells to external signals and in maintaining endothelial survival during infection (By similarity). Can inhibit apoptosis induced by serum starvation in the mammary epithelial cell line HC11 (By similarity)
Q9Y4W6	Mitochondrial inner membrane m-AAA protease component AFG3L2	AFG3L2	Homo sapiens	797	Catalytic component of the m-AAA protease, a protease that plays a key role in proteostasis of inner mitochondrial membrane proteins, and which is essential for axonal and neuron development (PubMed:19748354, PubMed:28396416, PubMed:29932645, PubMed:30683687, PubMed:31327635, PubMed:37917749, PubMed:38157846). AFG3L2 possesses both ATPase and protease activities: the ATPase activity is required to unfold substrates, threading them into the internal proteolytic cavity for hydrolysis into small peptide fragments (PubMed:19748354, PubMed:31327635). The m-AAA protease carries out quality control in the inner membrane of the mitochondria by mediating degradation of mistranslated or misfolded polypeptides (PubMed:26504172, PubMed:30683687, PubMed:34718584). The m-AAA protease complex also promotes the processing and maturation of mitochondrial proteins, such as MRPL32/bL32m, PINK1 and SP7 (PubMed:22354088, PubMed:29932645, PubMed:30252181). Mediates protein maturation of the mitochondrial ribosomal subunit MRPL32/bL32m by catalyzing the cleavage of the presequence of MRPL32/bL32m prior to assembly into the mitochondrial ribosome (PubMed:29932645). Required for SPG7 maturation into its active mature form after SPG7 cleavage by mitochondrial-processing peptidase (MPP) (PubMed:30252181). Required for the maturation of PINK1 into its 52kDa mature form after its cleavage by mitochondrial-processing peptidase (MPP) (PubMed:22354088). Acts as a regulator of calcium in neurons by mediating degradation of SMDT1/EMRE before its assembly with the uniporter complex, limiting the availability of SMDT1/EMRE for MCU assembly and promoting efficient assembly of gatekeeper subunits with MCU (PubMed:27642048, PubMed:28396416). Promotes the proteolytic degradation of GHITM upon hyperpolarization of mitochondria: progressive GHITM degradation leads to respiratory complex I degradation and broad reshaping of the mitochondrial proteome by AFG3L2 (PubMed:35912435). Also acts as a regulator of mitochondrial glutathione homeostasis by mediating cleavage and degradation of SLC25A39 (PubMed:37917749, PubMed:38157846). SLC25A39 cleavage is prevented when SLC25A39 binds iron-sulfur (PubMed:37917749, PubMed:38157846). Involved in the regulation of OMA1-dependent processing of OPA1 (PubMed:17615298, PubMed:29545505, PubMed:30252181, PubMed:30683687, PubMed:32600459). May act by mediating processing of OMA1 precursor, participating in OMA1 maturation (PubMed:29545505)
P20711	Aromatic-L-amino-acid decarboxylase	DDC	Homo sapiens	480	Catalyzes the decarboxylation of L-3,4-dihydroxyphenylalanine (DOPA) to dopamine and L-5-hydroxytryptophan to serotonin
Q8IWA5	Choline transporter-like protein 2	SLC44A2	Homo sapiens	706	Choline/H+ antiporter, mainly in mitochodria (PubMed:10677542, PubMed:20665236, PubMed:23651124, PubMed:33789160). Also acts as a low-affinity ethanolamine/H+ antiporter, regulating the supply of extracellular ethanolamine (Etn) for the CDP-Etn pathway, redistribute intracellular Etn and balance the CDP-Cho and CDP-Etn arms of the Kennedy pathway (PubMed:33789160)
Q8N9V6	Ankyrin repeat domain-containing protein 53	ANKRD53	Homo sapiens	530	Required for normal progression through mitosis. Involved in chromosome alignment and cytokinesis via regulation of microtubules polymerization
Q02325	Plasminogen-like protein B	PLGLB1	Homo sapiens	96	May bind noncovalently to lysine binding sites present in the kringle structures of plasminogen. This may interfere with the binding of fibrin or alpha-2-antiplasmin to plasminogen and may result in the localization of activity at sites necessary for extracellular matrix destruction
